geo,eisodima_2009,adynamia_2009,eisodima_2024,adynamia_2024,metavoli_eisodimatos,metavoli_adynamias,xora,kratos_melos,xora_krisis,einai_ellada,einai_ee,omada_xrwmatos,diakopi_seiras
EL,15054.0,46.3,11700.0,46.6,-22.3,0.3,Ελλάδα,True,True,True,False,Ελλάδα,False
FR,26621.0,28.7,26459.0,23.2,-0.6,-5.5,Γαλλία,True,False,False,False,Υπόλοιπες,True
IT,21431.0,40.5,22062.0,35.7,2.9,-4.8,Ιταλία,True,True,False,False,Υπόλοιπες,False
FI,28641.0,14.7,29740.0,14.8,3.8,0.1,Φινλανδία,True,False,False,False,Υπόλοιπες,False
ES,19538.0,42.6,20367.0,32.2,4.2,-10.4,Ισπανία,True,True,False,False,Υπόλοιπες,False
CY,20435.0,47.8,22066.0,27.6,8.0,-20.2,Κύπρος,True,True,False,False,Υπόλοιπες,False
DE,26472.0,23.7,28891.0,20.9,9.1,-2.8,Γερμανία,True,False,False,False,Υπόλοιπες,True
DK,247158.0,11.8,269953.0,14.1,9.2,2.3,Δανία,True,False,False,False,Υπόλοιπες,True
BE,28447.0,26.9,31299.0,19.5,10.0,-7.4,Βέλγιο,True,False,False,False,Υπόλοιπες,True
LU,45353.0,13.6,50046.0,10.6,10.3,-3.0,Λουξεμβούργο,True,False,False,False,Υπόλοιπες,True
EU27_2020,20612.0,38.8,22939.0,27.5,11.3,-11.3,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27,False
AT,31884.0,22.3,36546.0,17.8,14.6,-4.5,Αυστρία,True,False,False,False,Υπόλοιπες,False
NL,29352.0,15.8,34466.0,12.8,17.4,-3.0,Ολλανδία,True,False,False,False,Υπόλοιπες,True
SE,273516.0,11.0,326671.0,12.4,19.4,1.4,Σουηδία,True,False,False,False,Υπόλοιπες,False
CZ,309756.0,39.5,381800.0,19.0,23.3,-20.5,Τσεχία,True,False,False,False,Υπόλοιπες,False
SI,16317.0,31.4,20416.0,15.2,25.1,-16.2,Σλοβενία,True,False,False,False,Υπόλοιπες,False
PT,11528.0,64.6,14465.0,33.1,25.5,-31.5,Πορτογαλία,True,True,False,False,Υπόλοιπες,False
SK,9619.0,55.7,12990.0,29.1,35.0,-26.6,Σλοβακία,True,False,False,False,Υπόλοιπες,False
IE,25042.0,41.7,35138.0,20.5,40.3,-21.2,Ιρλανδία,True,True,False,False,Υπόλοιπες,True
HU,2317799.0,64.9,3475409.0,39.1,49.9,-25.8,Ουγγαρία,True,False,False,False,Υπόλοιπες,True
MT,14262.0,60.8,22034.0,27.6,54.5,-33.2,Μάλτα,True,False,False,False,Υπόλοιπες,False
EE,10374.0,50.6,17146.0,25.8,65.3,-24.8,Εσθονία,True,False,False,False,Υπόλοιπες,True
HR,8379.0,67.3,15057.0,32.6,79.7,-34.7,Κροατία,True,False,False,False,Υπόλοιπες,True
PL,31395.0,59.9,61976.0,24.5,97.4,-35.4,Πολωνία,True,False,False,False,Υπόλοιπες,False
BG,8656.0,62.4,17333.0,39.1,100.2,-23.3,Βουλγαρία,True,False,False,False,Υπόλοιπες,True
LV,6930.0,62.7,13983.0,28.9,101.8,-33.8,Λετονία,True,False,False,False,Υπόλοιπες,False
LT,6653.0,63.1,13982.0,30.9,110.2,-32.2,Λιθουανία,True,False,False,False,Υπόλοιπες,False
RO,15651.0,77.4,40725.0,61.4,160.2,-16.0,Ρουμανία,True,False,False,False,Υπόλοιπες,False
