imerominia,onomastiko,deiktis_timwn,pragmatiko,adynamia
2009-01-01,11963,94.81,15054.0,46.3
2010-01-01,10985,99.27,13203.0,51.2
2011-01-01,9513,102.36,11088.0,52.8
2012-01-01,8371,103.42,9657.0,49.0
2013-01-01,7680,102.54,8936.0,50.0
2014-01-01,7520,101.11,8874.0,53.7
2015-01-01,7500,100.0,8948.0,53.6
2016-01-01,7600,100.02,9066.0,50.9
2017-01-01,7863,101.15,9275.0,51.0
2018-01-01,8195,101.94,9591.0,49.2
2019-01-01,8781,102.46,10225.0,53.1
2020-01-01,8752,101.17,10321.0,48.6
2021-01-01,9520,101.75,11163.0,48.8
2022-01-01,10050,111.21,10782.0,43.1
2023-01-01,10850,115.84,11175.0,46.0
2024-01-01,11700,119.31,11700.0,46.6
