geo,arxi,eisodima_2024,etos_vasis,metavoli,xora,kratos_melos,xora_krisis,einai_ellada,einai_ee,omada_xrwmatos
AT,31883.95961191336,36546.00000000001,2009,14.6,Αυστρία,True,False,False,False,Υπόλοιπες
BE,28446.5527280809,31299.0,2009,10.0,Βέλγιο,True,False,False,False,Υπόλοιπες
CY,20434.86355301478,22066.0,2009,8.0,Κύπρος,True,True,False,False,Υπόλοιπες
DE,26471.7576419214,28891.0,2009,9.1,Γερμανία,True,False,False,False,Υπόλοιπες
EE,10374.418360196214,17146.0,2009,65.3,Εσθονία,True,False,False,False,Υπόλοιπες
EL,15054.377491825757,11700.0,2009,-22.3,Ελλάδα,True,True,True,False,Ελλάδα
ES,19538.28669053043,20367.0,2009,4.2,Ισπανία,True,True,False,False,Υπόλοιπες
EU27_2020,20612.348877941982,22939.0,2009,11.3,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27
FI,28641.409202866103,29740.0,2009,3.8,Φινλανδία,True,False,False,False,Υπόλοιπες
FR,26621.25054089139,26459.0,2009,-0.6,Γαλλία,True,False,False,False,Υπόλοιπες
HR,8378.685015290519,15057.0,2009,79.7,Κροατία,True,False,False,False,Υπόλοιπες
IE,25042.25766871166,35138.0,2009,40.3,Ιρλανδία,True,True,False,False,Υπόλοιπες
IT,21431.36333699232,22062.0,2009,2.9,Ιταλία,True,True,False,False,Υπόλοιπες
LT,6652.985548500109,13982.0,2009,110.2,Λιθουανία,True,False,False,False,Υπόλοιπες
LU,45353.439123102864,50046.0,2009,10.3,Λουξεμβούργο,True,False,False,False,Υπόλοιπες
LV,6930.1472744660505,13983.0,2009,101.8,Λετονία,True,False,False,False,Υπόλοιπες
MT,14262.133407448582,22034.0,2009,54.5,Μάλτα,True,False,False,False,Υπόλοιπες
NL,29352.199999999997,34466.0,2009,17.4,Ολλανδία,True,False,False,False,Υπόλοιπες
PT,11528.196846112018,14465.0,2009,25.5,Πορτογαλία,True,True,False,False,Υπόλοιπες
SI,16317.085136457541,20416.0,2009,25.1,Σλοβενία,True,False,False,False,Υπόλοιπες
SK,9618.571004942338,12990.0,2009,35.1,Σλοβακία,True,False,False,False,Υπόλοιπες
BG,8655.974842767295,17333.0,2009,100.2,Βουλγαρία,True,False,False,False,Υπόλοιπες
CZ,309756.4721311476,381800.0,2009,23.3,Τσεχία,True,False,False,False,Υπόλοιπες
DK,247157.71661237782,269953.0,2009,9.2,Δανία,True,False,False,False,Υπόλοιπες
HU,2317798.502633735,3475409.0,2009,49.9,Ουγγαρία,True,False,False,False,Υπόλοιπες
NO,422130.02646086,487522.0,2009,15.5,Νορβηγία,False,False,False,False,Υπόλοιπες
PL,31394.966777408634,61976.00000000001,2009,97.4,Πολωνία,True,False,False,False,Υπόλοιπες
RO,15650.821523579201,40725.0,2009,160.2,Ρουμανία,True,False,False,False,Υπόλοιπες
SE,273515.83578146464,326671.00000000006,2009,19.4,Σουηδία,True,False,False,False,Υπόλοιπες
AT,30939.084386422976,36546.00000000001,2012,18.1,Αυστρία,True,False,False,False,Υπόλοιπες
BE,28925.513513513513,31299.0,2012,8.2,Βέλγιο,True,False,False,False,Υπόλοιπες
CY,18320.054903893542,22066.0,2012,20.4,Κύπρος,True,True,False,False,Υπόλοιπες
DE,26042.0412371134,28891.0,2012,10.9,Γερμανία,True,False,False,False,Υπόλοιπες
EE,10592.784179383369,17146.0,2012,61.9,Εσθονία,True,False,False,False,Υπόλοιπες
EL,9657.165055115065,11700.0,2012,21.2,Ελλάδα,True,True,True,False,Ελλάδα
ES,16795.034941093545,20367.0,2012,21.3,Ισπανία,True,True,False,False,Υπόλοιπες
EU27_2020,19758.860780120172,22939.0,2012,16.1,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27
FI,28805.740729263507,29740.0,2012,3.2,Φινλανδία,True,False,False,False,Υπόλοιπες
FR,26235.32960439337,26459.0,2012,0.9,Γαλλία,True,False,False,False,Υπόλοιπες
HR,6858.624386252045,15057.0,2012,119.5,Κροατία,True,False,False,False,Υπόλοιπες
IE,23899.25806451613,35138.0,2012,47.0,Ιρλανδία,True,True,False,False,Υπόλοιπες
IT,19554.32825203252,22062.0,2012,12.8,Ιταλία,True,True,False,False,Υπόλοιπες
LT,7135.489726027397,13982.0,2012,96.0,Λιθουανία,True,False,False,False,Υπόλοιπες
LU,42575.732861973556,50046.0,2012,17.5,Λουξεμβούργο,True,False,False,False,Υπόλοιπες
LV,6842.901604601877,13983.0,2012,104.3,Λετονία,True,False,False,False,Υπόλοιπες
MT,15243.142386492329,22034.0,2012,44.6,Μάλτα,True,False,False,False,Υπόλοιπες
NL,28343.962057944114,34466.0,2012,21.6,Ολλανδία,True,False,False,False,Υπόλοιπες
PT,10066.72596250756,14465.0,2012,43.7,Πορτογαλία,True,True,False,False,Υπόλοιπες
SI,15385.941522842639,20416.0,2012,32.7,Σλοβενία,True,False,False,False,Υπόλοιπες
SK,9742.790808080807,12990.0,2012,33.3,Σλοβακία,True,False,False,False,Υπόλοιπες
BG,7690.494869539725,17333.0,2012,125.4,Βουλγαρία,True,False,False,False,Υπόλοιπες
CZ,299906.4,381800.0,2012,27.3,Τσεχία,True,False,False,False,Υπόλοιπες
DK,246013.15267947418,269953.0,2012,9.7,Δανία,True,False,False,False,Υπόλοιπες
HU,2182030.9446254075,3475409.0,2012,59.3,Ουγγαρία,True,False,False,False,Υπόλοιπες
NO,460548.0954400849,487522.0,2012,5.9,Νορβηγία,False,False,False,False,Υπόλοιπες
PL,32198.466933867734,61976.00000000001,2012,92.5,Πολωνία,True,False,False,False,Υπόλοιπες
RO,14038.248385080224,40725.0,2012,190.1,Ρουμανία,True,False,False,False,Υπόλοιπες
RS,462426.8456375838,913478.0,2012,97.5,Σερβία,False,False,False,False,Υπόλοιπες
SE,289040.1796067302,326671.00000000006,2012,13.0,Σουηδία,True,False,False,False,Υπόλοιπες
TR,90783.5120413567,214811.0,2012,136.6,Τουρκία,False,False,False,False,Υπόλοιπες
AT,31799.7174,36546.00000000001,2015,14.9,Αυστρία,True,False,False,False,Υπόλοιπες
BE,29322.384000000002,31299.0,2015,6.7,Βέλγιο,True,False,False,False,Υπόλοιπες
CY,16416.018,22066.0,2015,34.4,Κύπρος,True,True,False,False,Υπόλοιπες
DE,27444.75,28891.0,2015,5.3,Γερμανία,True,False,False,False,Υπόλοιπες
EA20,22801.568,25108.0,2015,10.1,EA20,False,False,False,False,Υπόλοιπες
EE,13408.395,17146.0,2015,27.9,Εσθονία,True,False,False,False,Υπόλοιπες
EL,8948.25,11700.0,2015,30.8,Ελλάδα,True,True,True,False,Ελλάδα
ES,16872.7773,20367.0,2015,20.7,Ισπανία,True,True,False,False,Υπόλοιπες
EU27_2020,20548.8049,22939.0,2015,11.6,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27
FI,28339.795,29740.0,2015,4.9,Φινλανδία,True,False,False,False,Υπόλοιπες
FR,26769.9577,26459.0,2015,-1.2,Γαλλία,True,False,False,False,Υπόλοιπες
HR,7639.8344,15057.0,2015,97.1,Κροατία,True,False,False,False,Υπόλοιπες
IE,26917.536,35138.0,2015,30.5,Ιρλανδία,True,True,False,False,Υπόλοιπες
