geo,xora,egxwria_taxidia,egxwries_nyxtes,egxwries_nyxtes_ana_taxidi,egxwria_evro_nyxta,egxwria_evro_taxidi,ekswt_taxidia,ekswt_nyxtes,ekswt_nyxtes_ana_taxidi,ekswt_evro_nyxta,ekswt_evro_taxidi,synolo_taxidia,synolo_nyxtes,pososto_ekswterikou,kratos_melos,xora_krisis,einai_ellada,einai_ee,omada_xrwmatos
SE,Σουηδία,5.0,15.91,3.2,126.46,402.07,1.53,14.56,9.5,154.43,1466.67,6.53,30.47,23.4,True,False,False,False,Υπόλοιπες
FI,Φινλανδία,4.27,14.06,3.3,62.1,204.43,1.1,9.44,8.6,127.85,1099.35,5.37,23.5,20.5,True,False,False,False,Υπόλοιπες
FR,Γαλλία,2.57,11.81,4.6,64.54,296.59,0.43,3.16,7.3,151.86,1108.11,3.0,14.97,14.3,True,False,False,False,Υπόλοιπες
ES,Ισπανία,2.55,10.1,4.0,65.05,258.08,0.34,2.76,8.2,125.84,1035.09,2.89,12.86,11.8,True,True,False,False,Υπόλοιπες
DK,Δανία,2.45,7.18,2.9,48.43,141.97,1.73,12.11,7.0,100.81,707.3,4.18,19.29,41.4,True,False,False,False,Υπόλοιπες
CZ,Τσεχία,1.92,7.0,3.6,28.86,105.29,0.66,4.35,6.6,96.16,633.83,2.58,11.35,25.6,True,False,False,False,Υπόλοιπες
EU27_2020,Ευρωπαϊκή Ένωση (27),1.69,6.82,4.0,71.86,289.88,0.69,5.56,8.1,127.79,1036.38,2.38,12.38,29.0,False,False,False,True,ΕΕ27
PL,Πολωνία,1.39,6.27,4.5,46.58,210.74,0.36,3.18,8.8,78.43,689.55,1.75,9.45,20.6,True,False,False,False,Υπόλοιπες
DE,Γερμανία,1.62,6.18,3.8,98.05,373.97,1.25,11.1,8.8,134.68,1191.25,2.87,17.28,43.6,True,False,False,False,Υπόλοιπες
EL,Ελλάδα,0.58,5.83,10.1,39.72,401.79,0.1,0.75,7.8,107.5,841.11,0.68,6.58,14.7,True,True,True,False,Ελλάδα
IE,Ιρλανδία,2.4,5.39,2.2,102.37,230.14,1.99,11.93,6.0,146.15,878.07,4.39,17.32,45.3,True,True,False,False,Υπόλοιπες
HR,Κροατία,0.93,5.23,5.6,60.84,343.07,0.49,2.55,5.2,104.6,548.98,1.42,7.78,34.5,True,False,False,False,Υπόλοιπες
PT,Πορτογαλία,1.37,5.0,3.7,49.43,180.59,0.23,1.61,7.1,124.15,884.63,1.6,6.61,14.4,True,True,False,False,Υπόλοιπες
CY,Κύπρος,1.64,4.83,3.0,62.23,183.86,1.55,12.57,8.1,142.64,1157.75,3.19,17.4,48.6,True,True,False,False,Υπόλοιπες
EE,Εσθονία,2.25,4.75,2.1,85.25,179.86,0.9,6.36,7.1,153.87,1091.23,3.15,11.11,28.6,True,False,False,False,Υπόλοιπες
AT,Αυστρία,1.42,4.62,3.3,143.42,467.09,1.58,10.76,6.8,181.34,1235.15,3.0,15.38,52.7,True,False,False,False,Υπόλοιπες
SK,Σλοβακία,1.27,4.32,3.4,64.42,219.54,0.81,4.66,5.8,118.13,683.22,2.08,8.98,38.9,True,False,False,False,Υπόλοιπες
NL,Ολλανδία,1.17,4.21,3.6,62.69,225.67,1.27,11.99,9.4,98.65,929.51,2.44,16.2,52.0,True,False,False,False,Υπόλοιπες
LV,Λετονία,1.62,3.67,2.3,30.05,68.05,0.83,4.5,5.4,102.78,557.12,2.45,8.17,33.9,True,False,False,False,Υπόλοιπες
SI,Σλοβενία,1.47,3.52,2.4,67.05,160.82,2.01,10.39,5.2,92.23,477.33,3.48,13.91,57.8,True,False,False,False,Υπόλοιπες
RO,Ρουμανία,0.99,3.42,3.5,66.85,231.93,0.12,0.72,6.2,118.81,733.41,1.11,4.14,10.8,True,False,False,False,Υπόλοιπες
HU,Ουγγαρία,1.11,3.33,3.0,48.22,144.82,0.64,3.38,5.3,89.25,474.41,1.75,6.71,36.6,True,False,False,False,Υπόλοιπες
LT,Λιθουανία,1.41,3.22,2.3,45.76,104.4,0.61,4.34,7.2,67.99,487.41,2.02,7.56,30.2,True,False,False,False,Υπόλοιπες
IT,Ιταλία,0.5,3.07,6.1,68.89,420.07,0.15,1.14,7.5,120.01,896.59,0.65,4.21,23.1,True,True,False,False,Υπόλοιπες
BG,Βουλγαρία,0.59,2.28,3.8,67.42,259.11,0.2,1.08,5.3,112.06,593.3,0.79,3.36,25.3,True,False,False,False,Υπόλοιπες
MT,Μάλτα,0.74,1.96,2.6,63.4,167.08,1.24,8.1,6.5,146.98,957.17,1.98,10.06,62.6,True,False,False,False,Υπόλοιπες
BE,Βέλγιο,0.37,1.37,3.7,74.99,275.16,1.19,10.98,9.2,100.89,933.15,1.56,12.35,76.3,True,False,False,False,Υπόλοιπες
LU,Λουξεμβούργο,0.21,0.75,3.7,94.77,348.66,3.92,29.11,7.4,177.69,1319.23,4.13,29.86,94.9,True,False,False,False,Υπόλοιπες
