geo,xora,proorismos,proorismos_onoma,imerominia,evro_ana_taxidi,evro_ana_nyxta,nyxtes_ana_taxidi,kratos_melos,xora_krisis,einai_ellada,einai_ee,omada_xrwmatos
AT,Αυστρία,DOM,Εντός της χώρας,2012-01-01,349.37,94.74,3.7,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2013-01-01,347.56,96.89,3.6,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2014-01-01,327.94,95.16,3.4,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2015-01-01,363.33,103.5,3.5,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2016-01-01,370.19,105.61,3.5,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2017-01-01,370.03,108.48,3.4,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2018-01-01,363.89,104.62,3.5,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2019-01-01,374.25,114.04,3.3,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2020-01-01,368.93,102.74,3.6,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2021-01-01,357.72,105.95,3.4,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2022-01-01,390.51,124.88,3.1,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2023-01-01,430.8,133.65,3.2,True,False,False,False,Υπόλοιπες
AT,Αυστρία,DOM,Εντός της χώρας,2024-01-01,467.09,143.42,3.3,True,False,False,False,Υπόλοιπες
BE,Βέλγιο,DOM,Εντός της χώρας,2012-01-01,233.85,54.76,4.3,True,False,False,False,Υπόλοιπες
BE,Βέλγιο,DOM,Εντός της χώρας,2013-01-01,232.42,55.24,4.2,True,False,False,False,Υπόλοιπες
BE,Βέλγιο,DOM,Εντός της χώρας,2014-01-01,216.4,54.17,4.0,True,False,False,False,Υπόλοιπες
BE,Βέλγιο,DOM,Εντός της χώρας,2015-01-01,195.1,58.43,3.3,True,False,False,False,Υπόλοιπες
BE,Βέλγιο,DOM,Εντός της χώρας,2016-01-01,230.83,56.1,4.1,True,False,False,False,Υπόλοιπες
BE,Βέλγιο,DOM,Εντός της χώρας,2017-01-01,198.14,58.48,3.4,True,False,False,False,Υπόλοιπες
BE,Βέλγιο,DOM,Εντός της χώρας,2018-01-01,213.91,53.73,4.0,True,False,False,False,Υπόλοιπες
BE,Βέλγιο,DOM,Εντός της χώρας,2019-01-01,196.67,59.1,3.3,True,False,False,False,Υπόλοιπες
BE,Βέλγιο,DOM,Εντός της χώρας,2020-01-01,185.71,48.59,3.8,True,False,False,False,Υπόλοιπες
