geo,proorismos,typos,nyxtes,pososto,typos_onoma,proorismos_onoma,einai_athroisma,xora,kratos_melos,xora_krisis,einai_ellada,einai_ee
AT,DOM,NR_OTH,995336.0,2.3,Άλλο μη πληρωμένο,Εντός της χώρας,False,Αυστρία,True,False,False,False
BE,DOM,NR_OTH,208014.0,1.3,Άλλο μη πληρωμένο,Εντός της χώρας,False,Βέλγιο,True,False,False,False
BG,DOM,NR_OTH,134481.0,0.9,Άλλο μη πληρωμένο,Εντός της χώρας,False,Βουλγαρία,True,False,False,False
CY,DOM,NR_OTH,27540.0,0.6,Άλλο μη πληρωμένο,Εντός της χώρας,False,Κύπρος,True,True,False,False
CZ,DOM,NR_OTH,440924.0,0.6,Άλλο μη πληρωμένο,Εντός της χώρας,False,Τσεχία,True,False,False,False
DE,DOM,NR_OTH,19326254.0,3.7,Άλλο μη πληρωμένο,Εντός της χώρας,False,Γερμανία,True,False,False,False
DK,DOM,NR_OTH,715142.0,1.7,Άλλο μη πληρωμένο,Εντός της χώρας,False,Δανία,True,False,False,False
EE,DOM,NR_OTH,294124.0,4.5,Άλλο μη πληρωμένο,Εντός της χώρας,False,Εσθονία,True,False,False,False
EL,DOM,NR_OTH,367624.0,0.6,Άλλο μη πληρωμένο,Εντός της χώρας,False,Ελλάδα,True,True,True,False
ES,DOM,NR_OTH,5988085.0,1.2,Άλλο μη πληρωμένο,Εντός της χώρας,False,Ισπανία,True,True,False,False
EU27_2020,DOM,NR_OTH,60556677.0,2.0,Άλλο μη πληρωμένο,Εντός της χώρας,False,Ευρωπαϊκή Ένωση (27),False,False,False,True
FI,DOM,NR_OTH,2828284.0,3.6,Άλλο μη πληρωμένο,Εντός της χώρας,False,Φινλανδία,True,False,False,False
FR,DOM,NR_OTH,15299083.0,1.9,Άλλο μη πληρωμένο,Εντός της χώρας,False,Γαλλία,True,False,False,False
HR,DOM,NR_OTH,,,Άλλο μη πληρωμένο,Εντός της χώρας,False,Κροατία,True,False,False,False
HU,DOM,NR_OTH,,,Άλλο μη πληρωμένο,Εντός της χώρας,False,Ουγγαρία,True,False,False,False
IE,DOM,NR_OTH,775957.0,2.7,Άλλο μη πληρωμένο,Εντός της χώρας,False,Ιρλανδία,True,True,False,False
IT,DOM,NR_OTH,2353573.0,1.3,Άλλο μη πληρωμένο,Εντός της χώρας,False,Ιταλία,True,True,False,False
LT,DOM,NR_OTH,344105.0,3.7,Άλλο μη πληρωμένο,Εντός της χώρας,False,Λιθουανία,True,False,False,False
LU,DOM,NR_OTH,145600.0,28.5,Άλλο μη πληρωμένο,Εντός της χώρας,False,Λουξεμβούργο,True,False,False,False
LV,DOM,NR_OTH,79625.0,1.2,Άλλο μη πληρωμένο,Εντός της χώρας,False,Λετονία,True,False,False,False
MT,DOM,NR_OTH,28782.0,2.6,Άλλο μη πληρωμένο,Εντός της χώρας,False,Μάλτα,True,False,False,False
NL,DOM,NR_OTH,2168443.0,2.9,Άλλο μη πληρωμένο,Εντός της χώρας,False,Ολλανδία,True,False,False,False
PL,DOM,NR_OTH,1155951.0,0.5,Άλλο μη πληρωμένο,Εντός της χώρας,False,Πολωνία,True,False,False,False
PT,DOM,NR_OTH,1198546.0,2.1,Άλλο μη πληρωμένο,Εντός της χώρας,False,Πορτογαλία,True,True,False,False
RO,DOM,NR_OTH,759842.0,1.2,Άλλο μη πληρωμένο,Εντός της χώρας,False,Ρουμανία,True,False,False,False
SE,DOM,NR_OTH,4659405.0,2.8,Άλλο μη πληρωμένο,Εντός της χώρας,False,Σουηδία,True,False,False,False
SI,DOM,NR_OTH,67043.0,0.9,Άλλο μη πληρωμένο,Εντός της χώρας,False,Σλοβενία,True,False,False,False
SK,DOM,NR_OTH,,,Άλλο μη πληρωμένο,Εντός της χώρας,False,Σλοβακία,True,False,False,False
AT,DOM,NR_OWN,5056483.0,11.9,Δικό τους σπίτι,Εντός της χώρας,False,Αυστρία,True,False,False,False
BE,DOM,NR_OWN,2339162.0,14.4,Δικό τους σπίτι,Εντός της χώρας,False,Βέλγιο,True,False,False,False
BG,DOM,NR_OWN,1294218.0,8.8,Δικό τους σπίτι,Εντός της χώρας,False,Βουλγαρία,True,False,False,False
CY,DOM,NR_OWN,1872577.0,39.7,Δικό τους σπίτι,Εντός της χώρας,False,Κύπρος,True,True,False,False
CZ,DOM,NR_OWN,26497681.0,34.7,Δικό τους σπίτι,Εντός της χώρας,False,Τσεχία,True,False,False,False
DE,DOM,NR_OWN,33111427.0,6.4,Δικό τους σπίτι,Εντός της χώρας,False,Γερμανία,True,False,False,False
DK,DOM,NR_OWN,8853322.0,20.6,Δικό τους σπίτι,Εντός της χώρας,False,Δανία,True,False,False,False
EE,DOM,NR_OWN,413544.0,6.3,Δικό τους σπίτι,Εντός της χώρας,False,Εσθονία,True,False,False,False
EL,DOM,NR_OWN,31693208.0,52.4,Δικό τους σπίτι,Εντός της χώρας,False,Ελλάδα,True,True,True,False
ES,DOM,NR_OWN,132664198.0,26.9,Δικό τους σπίτι,Εντός της χώρας,False,Ισπανία,True,True,False,False
EU27_2020,DOM,NR_OWN,536685488.0,17.5,Δικό τους σπίτι,Εντός της χώρας,False,Ευρωπαϊκή Ένωση (27),False,False,False,True
FI,DOM,NR_OWN,25298424.0,32.0,Δικό τους σπίτι,Εντός της χώρας,False,Φινλανδία,True,False,False,False
FR,DOM,NR_OWN,135948680.0,16.7,Δικό τους σπίτι,Εντός της χώρας,False,Γαλλία,True,False,False,False
