geo,proorismos,evro_ana_taxidi,evro_ana_nyxta,taxidia_ana_katoiko,nyxtes_ana_katoiko,nyxtes_ana_taxidi,xora,kratos_melos,xora_krisis,einai_ellada,einai_ee,omada_xrwmatos,proorismos_onoma,imerominia
AT,DOM,349.37,94.74,1.07,3.94,3.7,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2012-01-01
AT,DOM,347.56,96.89,1.14,4.1,3.6,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2013-01-01
AT,DOM,327.94,95.16,1.12,3.86,3.4,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2014-01-01
AT,DOM,363.33,103.5,1.06,3.74,3.5,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2015-01-01
AT,DOM,370.19,105.61,1.15,4.04,3.5,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2016-01-01
AT,DOM,370.03,108.48,1.12,3.82,3.4,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2017-01-01
AT,DOM,363.89,104.62,1.2,4.17,3.5,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2018-01-01
AT,DOM,374.25,114.04,1.25,4.11,3.3,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2019-01-01
AT,DOM,368.93,102.74,1.05,3.78,3.6,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2020-01-01
AT,DOM,357.72,105.95,1.07,3.61,3.4,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2021-01-01
AT,DOM,390.51,124.88,1.4,4.39,3.1,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2022-01-01
AT,DOM,430.8,133.65,1.39,4.49,3.2,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2023-01-01
AT,DOM,467.09,143.42,1.42,4.62,3.3,Αυστρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2024-01-01
BE,DOM,233.85,54.76,0.22,0.96,4.3,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2012-01-01
BE,DOM,232.42,55.24,0.23,0.97,4.2,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2013-01-01
BE,DOM,216.4,54.17,0.2,0.78,4.0,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2014-01-01
BE,DOM,195.1,58.43,0.28,0.93,3.3,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2015-01-01
BE,DOM,230.83,56.1,0.25,1.02,4.1,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2016-01-01
BE,DOM,198.14,58.48,0.26,0.88,3.4,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2017-01-01
BE,DOM,213.91,53.73,0.31,1.25,4.0,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2018-01-01
BE,DOM,196.67,59.1,0.34,1.13,3.3,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2019-01-01
BE,DOM,185.71,48.59,0.29,1.1,3.8,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2020-01-01
BE,DOM,210.06,57.5,0.45,1.65,3.7,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2021-01-01
BE,DOM,235.37,71.52,0.38,1.26,3.3,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2022-01-01
BE,DOM,257.63,80.45,0.39,1.24,3.2,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2023-01-01
BE,DOM,275.16,74.99,0.37,1.37,3.7,Βέλγιο,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2024-01-01
BG,DOM,103.49,27.12,0.41,1.57,3.8,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2012-01-01
BG,DOM,107.24,24.44,0.46,2.0,4.4,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2013-01-01
BG,DOM,122.71,30.68,0.43,1.7,4.0,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2014-01-01
BG,DOM,121.25,29.97,0.35,1.41,4.0,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2015-01-01
BG,DOM,117.62,29.27,0.42,1.68,4.0,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2016-01-01
BG,DOM,112.05,29.62,0.67,2.54,3.8,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2017-01-01
BG,DOM,123.88,31.11,0.6,2.38,4.0,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2018-01-01
BG,DOM,132.49,33.29,0.56,2.22,4.0,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2019-01-01
BG,DOM,188.66,43.27,0.34,1.49,4.4,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2020-01-01
BG,DOM,187.25,48.13,0.45,1.74,3.9,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2021-01-01
BG,DOM,223.42,59.17,0.52,1.94,3.8,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2022-01-01
BG,DOM,237.49,58.69,0.56,2.25,4.0,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2023-01-01
BG,DOM,259.11,67.42,0.59,2.28,3.8,Βουλγαρία,True,False,False,False,Υπόλοιπες,Εντός της χώρας,2024-01-01
CY,DOM,70.76,22.07,1.55,4.96,3.2,Κύπρος,True,True,False,False,Υπόλοιπες,Εντός της χώρας,2012-01-01
CY,DOM,133.29,36.91,1.47,5.3,3.6,Κύπρος,True,True,False,False,Υπόλοιπες,Εντός της χώρας,2013-01-01
CY,DOM,147.08,42.16,1.48,5.16,3.5,Κύπρος,True,True,False,False,Υπόλοιπες,Εντός της χώρας,2014-01-01
CY,DOM,114.88,44.16,1.49,3.87,2.6,Κύπρος,True,True,False,False,Υπόλοιπες,Εντός της χώρας,2015-01-01
CY,DOM,120.88,43.38,1.57,4.37,2.8,Κύπρος,True,True,False,False,Υπόλοιπες,Εντός της χώρας,2016-01-01
CY,DOM,136.05,50.95,1.58,4.23,2.7,Κύπρος,True,True,False,False,Υπόλοιπες,Εντός της χώρας,2017-01-01
CY,DOM,120.59,51.25,1.76,4.13,2.4,Κύπρος,True,True,False,False,Υπόλοιπες,Εντός της χώρας,2018-01-01
