etos,proorismos,meso,pososto,synolo,taxidia,thelei_nisi
2024,Εντός Ελλάδας,Χερσαία,74.9,5975,4475.0,False
2024,Εντός Ελλάδας,Θαλάσσια,19.1,5975,1141.0,True
2024,Εντός Ελλάδας,Αεροπορικά,6.0,5975,358.0,True
2024,Στο εξωτερικό,Χερσαία,21.7,998,217.0,False
2024,Στο εξωτερικό,Θαλάσσια,1.1,998,11.0,True
2024,Στο εξωτερικό,Αεροπορικά,77.2,998,770.0,True
2025,Εντός Ελλάδας,Χερσαία,74.8,6740,5042.0,False
2025,Εντός Ελλάδας,Θαλάσσια,18.5,6740,1247.0,True
2025,Εντός Ελλάδας,Αεροπορικά,6.7,6740,452.0,True
2025,Στο εξωτερικό,Χερσαία,20.5,1186,243.0,False
2025,Στο εξωτερικό,Θαλάσσια,2.6,1186,31.0,True
2025,Στο εξωτερικό,Αεροπορικά,76.9,1186,912.0,True
