etos,proorismos,taxidia,nyxtes,pandimia,metavoli
2019,Εντός Ελλάδας,4942,53651,False,
2020,Εντός Ελλάδας,4332,52729,True,-12.3
2021,Εντός Ελλάδας,4705,55262,True,8.6
2022,Εντός Ελλάδας,5802,58818,False,23.3
2023,Εντός Ελλάδας,5751,56440,False,-0.9
2024,Εντός Ελλάδας,5975,60443,False,3.9
2025,Εντός Ελλάδας,6740,63965,False,12.8
2019,Στο εξωτερικό,840,7638,False,
2020,Στο εξωτερικό,272,3312,True,-67.6
2021,Στο εξωτερικό,348,3760,True,27.9
2022,Στο εξωτερικό,851,8402,False,144.5
2023,Στο εξωτερικό,927,8554,False,8.9
2024,Στο εξωτερικό,998,7810,False,7.7
2025,Στο εξωτερικό,1186,9308,False,18.8
