etos,proorismos,taxidia,nyxtes,dapani,evrw_ana_nyxta,evrw_ana_taxidi,nyxtes_ana_taxidi
2019,Εντός Ελλάδας,4942,53651,1598637,29.8,323.5,10.9
2019,Στο εξωτερικό,840,7638,513424,67.2,611.2,9.1
2020,Εντός Ελλάδας,4332,52729,1408618,26.7,325.2,12.2
2020,Στο εξωτερικό,272,3312,170153,51.4,625.6,12.2
2021,Εντός Ελλάδας,4705,55262,1719607,31.1,365.5,11.7
2021,Στο εξωτερικό,348,3760,208064,55.3,597.9,10.8
2022,Εντός Ελλάδας,5802,58818,2249270,38.2,387.7,10.1
2022,Στο εξωτερικό,851,8402,684197,81.4,804.0,9.9
2023,Εντός Ελλάδας,5751,56440,2253774,39.9,391.9,9.8
2023,Στο εξωτερικό,927,8554,770235,90.0,830.9,9.2
2024,Εντός Ελλάδας,5975,60443,2405654,39.8,402.6,10.1
2024,Στο εξωτερικό,998,7810,845465,108.3,847.2,7.8
2025,Εντός Ελλάδας,6740,63965,2701024,42.2,400.7,9.5
2025,Στο εξωτερικό,1186,9308,983656,105.7,829.4,7.8
