perifereia,nyxtes_2025,metavoli,omada,nyxtes_2024,plat_imed_2024,plat_allod_2024,plat_imed_2025,plat_allod_2025,plat_2024,plat_2025,plat_metavoli_imed,plat_metavoli_allod,synolo_2024,synolo_2025,synolo_metavoli,einai_nisi,exase_ellines,meridio_agoras_imed
Ιόνια νησιά,20363829,-0.8,νησιά,20528053.0,51697,669835,49312,711781,721532,761093,-4.6,6.3,21249585.0,21124922,-0.6,True,True,3.7
Αττική,12794781,0.4,Αττική,12743806.0,363891,2612650,356759,2642695,2976541,2999454,-2.0,1.1,15720347.0,15794235,0.5,False,True,27.1
Νότιο Αιγαίο,41838969,0.8,νησιά,41506914.0,103507,791759,101698,808946,895266,910644,-1.7,2.2,42402180.0,42749613,0.8,True,True,7.7
Κρήτη,35199262,1.9,νησιά,34542946.0,61250,900132,57860,915716,961382,973576,-5.5,1.7,35504328.0,36172838,1.9,True,True,4.4
Κεντρική Μακεδονία,18714412,3.3,ηπειρωτική,18116565.0,265331,915637,265320,1025110,1180968,1290430,-0.0,12.0,19297533.0,20004842,3.7,False,False,20.1
Αν. Μακεδονία & Θράκη,4038460,4.8,ηπειρωτική,3853492.0,46616,259185,50508,319843,305801,370351,8.3,23.4,4159293.0,4408811,6.0,False,False,3.8
Δυτική Ελλάδα,2494078,6.2,ηπειρωτική,2348473.0,43928,65960,46338,72107,109888,118445,5.5,9.3,2458361.0,2612523,6.3,False,False,3.5
Πελοπόννησος,6293497,6.5,ηπειρωτική,5909387.0,124910,314579,131160,334934,439489,466094,5.0,6.5,6348876.0,6759591,6.5,False,False,10.0
Βόρειο Αιγαίο,3162269,6.0,νησιά,2983273.0,29033,101526,31508,128797,130559,160305,8.5,26.9,3113832.0,3322574,6.7,True,False,2.4
Θεσσαλία,4442096,8.7,ηπειρωτική,4086565.0,95364,183510,101620,200973,278874,302593,6.6,9.5,4365439.0,4744689,8.7,False,False,7.7
Δυτική Μακεδονία,368066,7.4,ηπειρωτική,342706.0,13272,9144,16708,14340,22416,31048,25.9,56.8,365122.0,399114,9.3,False,False,1.3
Στερεά Ελλάδα,3249674,10.4,ηπειρωτική,2943545.0,48877,63587,52040,73686,112464,125726,6.5,15.9,3056009.0,3375400,10.5,False,False,4.0
Ήπειρος,3387890,10.8,ηπειρωτική,3057662.0,51956,72696,56550,81419,124652,137969,8.8,12.0,3182314.0,3525859,10.8,False,False,4.3
